conjunto_code,principio_activo,cn_code,product_name,pvl_ref,pvpiva_ref,observation,source_page
F1,13C-urea. ORAL.,654057,"UBTEST 100 mg comprimidos recubiertos con película, 1 comprimido.",19.51,30.46,,4
F1,13C-urea. ORAL.,665273,TAU-KIT 100MG 1 COMPRIMIDO SOLUBLE.,19.51,30.46,,4
F2,Acarbosa. ORAL.,662258,"ACARBOSA TECNIGEN 50 mg comprimidos, 100 comprimidos.",4.90,7.65,,4
F2,Acarbosa. ORAL.,662260,"ACARBOSA TECNIGEN 100 mg comprimidos, 100 comprimidos.",9.80,15.30,,4
F2,Acarbosa. ORAL.,663979,ACARBOSA VIATRIS 50 MG COMPRIMIDOS. 100 comprimidos.,4.90,7.65,,4
F2,Acarbosa. ORAL.,663981,ACARBOSA VIATRIS 100 MG COMPRIMIDOS. 100 comprimidos.,9.80,15.30,,4
F3,Aceclofenaco. ORAL.,653213,"ARACENAC 100 mg comprimidos recubiertos con película, 40 comprimidos.",3.62,5.65,,4
F3,Aceclofenaco. ORAL.,653221,"ARACENAC 100 mg comprimidos recubiertos con película, 20 comprimidos.",1.81,2.83,,5
F3,Aceclofenaco. ORAL.,653630,ACECLOFENACO KERN PHARMA 100MG 20 COMPRIMIDOS EFG.,1.81,2.83,,5
F3,Aceclofenaco. ORAL.,653631,ACECLOFENACO KERN PHARMA 100MG 40 COMPRIMIDOS EFG.,3.62,5.65,,5
F3,Aceclofenaco. ORAL.,659777,"ACECLOFENACO CINFA 100 mg comprimidos recubiertos con película, 20 comprimidos.",1.81,2.83,,5
F3,Aceclofenaco. ORAL.,659778,"ACECLOFENACO CINFA 100 mg comprimidos recubiertos con película, 40 comprimidos.",3.62,5.65,,5
F3,Aceclofenaco. ORAL.,663991,"ACECLOFENACO NORMON 100 mg comprimidos recubiertos con película, 20 comprimidos.",1.81,2.83,,5
F3,Aceclofenaco. ORAL.,663992,"ACECLOFENACO NORMON 100 mg comprimidos recubiertos con película, 40 comprimidos.",3.62,5.65,,5
F3,Aceclofenaco. ORAL.,683661,"ACECLOFENACO VIR 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG, 20 comprimidos.",1.81,2.83,,5
